ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA,Alcohol_num,Amphet_num,Amyl_num,Benzos_num,Caff_num,Cannabis_num,Choc_num,Coke_num,Crack_num,Ecstasy_num,Heroin_num,Ketamine_num,Legalh_num,LSD_num,Meth_num,Mushrooms_num,Nicotine_num,Semer_num,VSA_num,Cannabis_user,Coke_user,Ecstasy_user,Heroin_user,Meth_user,Nicotine_user,drug_severity_score,risk_category
11,1.09449,-0.48246,-0.05921,-0.09765,-0.22166,0.7502514459739312,-1.71510014332287,0.10342044659406467,1.1067292840194036,1.105075139869938,-0.612650021477103,0.4261675798833188,CL2,CL3,CL0,CL0,CL3,CL4,CL3,CL1,CL2,CL0,CL0,CL0,CL0,CL1,CL3,CL2,CL5,CL0,CL0,2,3,0,0,3,4,3,1,2,0,0,0,0,1,3,2,5,0,0,1,1,0,0,1,1,29,High
12,0.49788,0.48246,1.98437,0.21128,-1.10702,-0.849703297584393,-0.6057865262052162,0.14336468837833707,2.4075949316354026,-1.698032274479278,-0.9124527877970782,0.7065757799810598,CL3,CL0,CL0,CL0,CL4,CL3,CL5,CL0,CL0,CL0,CL0,CL0,CL1,CL1,CL1,CL2,CL2,CL0,CL2,3,0,0,0,4,3,5,0,0,0,0,0,1,1,1,2,2,0,2,1,0,0,0,1,1,24,High
13,2.59171,-0.48246,0.45468,0.96098,0.126,0.8059150285431569,-0.20550107974602289,1.3917829518338736,0.5136599688707837,0.38612411586985523,-0.8158940917565352,0.5675804506552077,CL4,CL0,CL0,CL0,CL5,CL5,CL3,CL1,CL1,CL0,CL0,CL0,CL2,CL0,CL0,CL0,CL3,CL0,CL0,4,0,0,0,5,5,3,1,1,0,0,0,2,0,0,0,3,0,0,1,1,0,0,0,1,24,High
14,1.82213,0.48246,-2.43591,-0.28519,-0.22166,-0.42742290819434203,0.975394420665162,-2.0045985488274436,-0.8604705894085446,-0.9334487601860295,0.32999302781865464,-1.6650166320615098,CL2,CL4,CL0,CL3,CL5,CL1,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL1,CL2,CL0,CL0,2,4,0,3,5,1,4,0,0,0,0,0,0,0,3,1,2,0,0,1,0,0,0,1,1,25,High
15,-0.07854,-0.48246,-2.43591,0.96098,-0.50212,-0.7900759535982739,0.5195145315819467,-0.6705208949485484,0.8261929891902798,-0.4194207685841112,-0.1930724322333413,-0.016138028535631798,CL3,CL0,CL0,CL1,CL2,CL4,CL4,CL2,CL0,CL0,CL2,CL0,CL2,CL0,CL4,CL0,CL2,CL0,CL1,3,0,0,1,2,4,4,2,0,0,2,0,2,0,4,0,2,0,1,1,1,0,1,1,1,27,High
16,1.09449,0.48246,-0.05921,-0.57009,-1.10702,1.6129967172496562,0.22154522390106024,0.8652612935234563,1.6059040565382805,0.7361434480328135,2.080314258109134,-0.31709064581768276,CL3,CL0,CL0,CL4,CL5,CL3,CL4,CL0,CL3,CL0,CL0,CL1,CL1,CL2,CL0,CL2,CL3,CL0,CL2,3,0,0,4,5,3,4,0,3,0,0,1,1,2,0,2,3,0,2,1,0,0,0,0,1,33,Severe
17,2.59171,-0.48246,-0.61113,0.24923,-0.22166,0.17694618489376554,-0.5808000934892528,1.1079024982750985,0.47489732438239174,-1.5154463255654003,-0.00024334562252112174,-0.14123129133135487,CL0,CL0,CL0,CL0,CL3,CL5,CL6,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0,CL0,CL4,CL0,CL0,0,0,0,0,3,5,6,0,0,0,0,0,4,0,0,0,4,0,0,1,0,0,0,0,1,22,High
18,2.59171,-0.48246,1.98437,-0.57009,-0.22166,-0.3221813710485574,-1.982116749044131,0.4272000835183058,-2.124291055208969,-0.27774050888572704,0.18873039943822895,-0.822853100273834,CL3,CL5,CL0,CL3,CL3,CL3,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL4,3,5,0,3,3,3,3,0,0,0,0,0,0,0,0,0,5,0,4,1,0,0,0,0,1,29,High
19,-0.07854,0.48246,-1.7379,0.24923,1.90725,0.7581783083512642,-1.9217560487326542,-0.1841270085045376,0.5553602040029428,-0.12883711188023847,-1.8010361823545997,0.8683078173776322,CL2,CL1,CL0,CL2,CL4,CL5,CL5,CL0,CL4,CL0,CL5,CL0,CL0,CL0,CL0,CL2,CL3,CL0,CL0,2,1,0,2,4,5,5,0,4,0,5,0,0,0,0,2,3,0,0,1,0,0,1,0,1,33,Severe
20,1.09449,-0.48246,1.16365,0.24923,0.1144,-1.3399910695748851,-1.6637364669420118,1.8615597076727957,-0.6298718472715173,-0.03739233829983229,-1.3380595004444857,0.048473417086757446,CL4,CL0,CL0,CL3,CL3,CL4,CL2,CL0,CL0,CL4,CL2,CL0,CL0,CL0,CL1,CL2,CL4,CL0,CL0,4,0,0,3,3,4,2,0,0,4,2,0,0,0,1,2,4,0,0,1,0,1,1,1,1,29,High
21,1.82213,0.48246,-0.61113,0.96098,0.126,1.1068635892603587,-0.29200667620471776,0.17781174992377502,-1.3219258800794722,-0.1031810651651815,-1.1214014205579417,0.04243194497039985,CL2,CL0,CL0,CL0,CL4,CL5,CL3,CL0,CL0,CL4,CL1,CL3,CL0,CL0,CL0,CL2,CL5,CL0,CL0,2,0,0,0,4,5,3,0,0,4,1,3,0,0,0,2,5,0,0,1,0,1,1,0,1,29,High
22,-0.95197,0.48246,-1.7379,-0.28519,1.90725,-0.1394447064084494,0.9940444377179896,0.030785990176296255,0.1866867733040958,0.5566582847097322,-0.5330306601389762,-0.14723172285892744,CL5,CL4,CL0,CL1,CL4,CL4,CL2,CL0,CL0,CL2,CL0,CL5,CL0,CL0,CL0,CL0,CL4,CL0,CL0,5,4,0,1,4,4,2,0,0,2,0,5,0,0,0,0,4,0,0,1,0,1,0,0,1,31,Severe
23,1.09449,0.48246,-0.05921,0.21128,-0.31685,0.6007877156684375,0.9670655699608834,1.3317853130429567,-1.5258149826157894,-0.4519895562765711,-1.4822372220423925,-0.6293000147553776,CL1,CL0,CL0,CL0,CL3,CL4,CL4,CL0,CL0,CL0,CL1,CL2,CL1,CL0,CL0,CL0,CL4,CL0,CL3,1,0,0,0,3,4,4,0,0,0,1,2,1,0,0,0,4,0,3,1,0,0,1,0,1,23,High
24,-0.07854,0.48246,1.16365,0.96098,-1.10702,-1.5478734610230862,0.7937157620774362,0.47555113472368177,1.0231471042956557,0.3653669371352648,-1.1549293150367688,-1.7820411552701603,CL5,CL0,CL0,CL0,CL3,CL5,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL1,CL0,CL4,CL0,CL3,5,0,0,0,3,5,4,0,0,0,0,0,0,2,1,0,4,0,3,1,0,0,0,1,1,27,High
25,2.59171,0.48246,-1.22751,-0.28519,0.1144,-0.3824259581329956,-0.5150954835180395,0.939830222189191,0.7308791674324757,0.3298388340631332,0.6649373179706672,0.2716840182670818,CL4,CL0,CL0,CL0,CL4,CL4,CL4,CL0,CL1,CL0,CL0,CL3,CL0,CL0,CL0,CL3,CL5,CL0,CL0,4,0,0,0,4,4,4,0,1,0,0,3,0,0,0,3,5,0,0,1,0,0,0,0,1,28,High
26,1.82213,0.48246,-1.7379,-0.09765,-0.22166,0.004580139345484049,1.14426316611711,1.0569723333995764,-0.08666894024911359,0.28606856256835195,-0.8598624691505946,0.11358554576341835,CL4,CL1,CL0,CL1,CL3,CL5,CL5,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL4,4,1,0,1,3,5,5,0,4,0,0,0,0,0,0,0,2,0,4,1,0,0,0,0,1,29,High
27,1.09449,0.48246,-0.61113,-0.09765,1.90725,1.0302992136185285,-0.9310705762898435,-0.37247162239009696,-0.5500782322075937,0.5278386892100967,-0.04101261799188832,0.5342417790726383,CL4,CL0,CL0,CL6,CL3,CL0,CL5,CL0,CL0,CL5,CL3,CL0,CL0,CL0,CL0,CL3,CL6,CL0,CL0,4,0,0,6,3,0,5,0,0,5,3,0,0,0,0,3,6,0,0,0,0,1,1,0,1,35,Severe
28,-0.95197,0.48246,-1.7379,0.24923,0.1144,0.6804110639374826,0.8533934388588761,1.7677318123639285,-0.18409928772374817,0.28208039892514847,0.5921403142519512,0.0723138400584873,CL3,CL1,CL4,CL1,CL5,CL4,CL5,CL0,CL0,CL3,CL0,CL0,CL0,CL0,CL0,CL5,CL5,CL0,CL1,3,1,4,1,5,4,5,0,0,3,0,0,0,0,0,5,5,0,1,1,0,1,0,0,1,37,Severe
29,-0.95197,-0.48246,-1.7379,-0.46841,-0.31685,-0.3924770376174168,-1.6745763197880554,-2.2778588681829075,-1.0109152476021477,-0.08967265899701021,0.9466199491172445,-1.079289813856718,CL2,CL0,CL0,CL0,CL2,CL5,CL3,CL3,CL2,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0,2,0,0,0,2,5,3,3,2,0,1,0,0,0,0,0,4,0,0,1,1,0,1,0,1,22,High
30,0.49788,-0.48246,-0.05921,-0.57009,0.126,0.31794775732338143,-1.1771122438872184,-1.9796569078072588,-0.07704429208076903,-1.2689472346382666,0.29252413053704757,-0.7947966099537419,CL5,CL0,CL0,CL0,CL4,CL5,CL3,CL3,CL0,CL0,CL0,CL0,CL1,CL4,CL0,CL1,CL4,CL0,CL0,5,0,0,0,4,5,3,3,0,0,0,0,1,4,0,1,4,0,0,1,1,0,0,0,1,30,High
31,0.49788,0.48246,1.98437,-0.57009,-0.31685,1.2565691017269818,1.6526150609705634,-0.680214622272303,-2.2863287539429096,1.3571868008004018,0.3527412295869309,1.3394534158955294,CL6,CL0,CL0,CL0,CL4,CL5,CL3,CL2,CL0,CL2,CL1,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL0,6,0,0,0,4,5,3,2,0,2,1,0,0,0,0,0,5,0,0,1,1,1,1,0,1,28,High
32,-0.07854,-0.48246,-1.22751,0.24923,-1.10702,-0.19998848342256015,-0.20383461382920437,-0.4233605562747566,0.08870996342686992,1.6946256085102893,0.9772770242705147,0.31893616207100617,CL6,CL2,CL0,CL0,CL5,CL4,CL3,CL0,CL0,CL1,CL0,CL0,CL0,CL0,CL3,CL0,CL4,CL0,CL1,6,2,0,0,5,4,3,0,0,1,0,0,0,0,3,0,4,0,1,1,0,1,0,1,1,29,High
33,1.09449,-0.48246,-0.05921,-0.46841,-0.50212,-0.3088649604353075,-0.6809698594164493,0.3626246914354842,0.11421994158892225,-0.359407145993602,0.41426578666347275,0.8032162702039384,CL4,CL0,CL0,CL0,CL5,CL6,CL3,CL1,CL0,CL0,CL5,CL0,CL0,CL2,CL0,CL1,CL4,CL0,CL0,4,0,0,0,5,6,3,1,0,0,5,0,0,2,0,1,4,0,0,1,1,0,1,0,1,31,Severe
34,1.09449,-0.48246,0.45468,-0.28519,1.90725,-1.8897046427529125,1.1027587086656538,-0.6894445375093416,0.8451496680907414,0.45640785135424433,1.0354254344131117,0.9189163932772911,CL4,CL0,CL0,CL1,CL2,CL2,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL5,CL0,CL5,4,0,0,1,2,2,3,0,0,0,0,0,0,0,0,0,5,0,5,1,0,0,0,0,1,22,High
35,2.59171,-0.48246,-0.05921,-0.09765,-1.10702,-0.2790723353428101,1.217371623557272,-0.01191838997282392,0.299811575993421,-0.5476128790257361,-2.1433925123942967,-0.9837276891840416,CL4,CL0,CL1,CL0,CL2,CL2,CL6,CL0,CL0,CL0,CL0,CL1,CL1,CL1,CL0,CL0,CL3,CL0,CL1,4,0,1,0,2,2,6,0,0,0,0,1,1,1,0,0,3,0,1,1,0,0,0,0,1,22,High
36,2.59171,0.48246,1.16365,-0.57009,-0.50212,-1.7396270386845216,-0.43328080809922265,-0.20514267256779198,0.977334761871499,-0.7202197821832982,-0.08367955097080183,-0.34050486661065577,CL4,CL0,CL2,CL1,CL4,CL0,CL5,CL3,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL4,CL0,CL0,4,0,2,1,4,0,5,3,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,1,24,High
37,2.59171,0.48246,-1.22751,0.96098,1.90725,-0.11433467903320715,0.2784634529421369,2.0044650639397426,0.5470311090523918,0.05531581133730173,0.05568747808156075,0.681013287731559,CL5,CL1,CL0,CL2,CL5,CL6,CL5,CL6,CL0,CL2,CL0,CL1,CL0,CL2,CL0,CL0,CL0,CL0,CL0,5,1,0,2,5,6,5,6,0,2,0,1,0,2,0,0,0,0,0,1,1,1,0,0,0,35,Severe
38,0.49788,-0.48246,-2.43591,-0.46841,-1.10702,0.988135143242747,0.13690742540714348,-0.8049756592501087,1.0365242704061233,2.294922743659891,-0.11788426453519311,-0.8155350770145016,CL3,CL0,CL0,CL0,CL3,CL3,CL6,CL1,CL0,CL0,CL0,CL1,CL0,CL0,CL0,CL0,CL2,CL0,CL0,3,0,0,0,3,3,6,1,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,1,19,High
39,1.09449,-0.48246,0.45468,-0.28519,-0.31685,-2.1196394750468155,-2.253356855725532,-1.683044556561648,2.4075949316354026,1.595347011002865,0.12320049324642796,-0.4082448917320059,CL6,CL0,CL0,CL3,CL4,CL5,CL4,CL0,CL0,CL0,CL0,CL0,CL1,CL4,CL0,CL0,CL4,CL0,CL0,6,0,0,3,4,5,4,0,0,0,0,0,1,4,0,0,4,0,0,1,0,0,0,0,1,31,Severe
40,1.09449,0.48246,-1.43719,-0.09765,-1.10702,1.2342088246207903,-1.3958600787637274,1.1190002325401045,0.42001714194836937,1.4455335910176144,-0.408332724369099,-0.5193668804962293,CL3,CL0,CL0,CL0,CL5,CL1,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,3,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,Moderate
41,-0.95197,-0.48246,-0.05921,0.96098,0.1144,-0.3302231266561985,0.9422544141820767,-0.7139565666114869,0.18402414476736295,0.5187719143432323,0.7889775194487749,-0.7381176921976513,CL4,CL0,CL0,CL0,CL5,CL3,CL5,CL0,CL0,CL0,CL1,CL0,CL1,CL1,CL0,CL5,CL3,CL0,CL0,4,0,0,0,5,3,5,0,0,0,1,0,1,1,0,5,3,0,0,1,0,0,1,0,1,28,High
42,0.49788,0.48246,-1.7379,-0.46841,-0.31685,-0.027164867126605836,-0.8326042490427499,-0.09166329085024545,1.1870489212681554,-0.9175250815679685,-0.5355686939228255,-0.1301487253600898,CL6,CL4,CL0,CL0,CL4,CL4,CL0,CL0,CL2,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0,6,4,0,0,4,4,0,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,24,High
43,1.82213,-0.48246,1.98437,0.24923,1.90725,-0.5024197801385417,0.5298378960650637,-0.6461754501263732,-0.46823150277036246,1.0368156538600375,-0.217742987155521,-0.4858320963821475,CL6,CL0,CL0,CL3,CL1,CL4,CL2,CL1,CL0,CL0,CL0,CL2,CL0,CL3,CL1,CL0,CL2,CL0,CL2,6,0,0,3,1,4,2,1,0,0,0,2,0,3,1,0,2,0,2,1,1,0,0,1,1,27,High
44,0.49788,-0.48246,-2.43591,0.24923,-1.10702,-1.7132368825486595,0.2630404513455334,0.737176098051193,-0.11918776596541744,-2.21784455680912,1.4440376642358839,-0.3985457330414952,CL4,CL0,CL0,CL6,CL1,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,4,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,15,Moderate
45,1.82213,0.48246,-0.05921,0.24923,-0.22166,-0.7829891742962404,1.2154327701278818,-1.3742745555547298,0.4209946182785697,0.39087465713143815,1.304439038682118,0.26846335111596054,CL3,CL0,CL0,CL0,CL3,CL4,CL2,CL0,CL0,CL1,CL4,CL1,CL3,CL0,CL0,CL0,CL0,CL0,CL0,3,0,0,0,3,4,2,0,0,1,4,1,3,0,0,0,0,0,0,1,0,1,1,0,0,21,High
46,-0.95197,-0.48246,-0.05921,-0.57009,1.90725,2.0974100684494847,-1.3637914884078566,-2.2778588681829075,0.0724150377285043,1.0978779377191867,0.1576344355386553,0.9980881914977885,CL3,CL0,CL0,CL0,CL0,CL2,CL5,CL0,CL0,CL0,CL2,CL0,CL1,CL2,CL0,CL0,CL4,CL0,CL0,3,0,0,0,0,2,5,0,0,0,2,0,1,2,0,0,4,0,0,1,0,0,1,0,1,19,High
47,-0.07854,0.48246,-0.61113,-0.28519,-1.10702,-1.0960454962534516,0.39420584096125216,1.2957162884732945,0.06791344080088788,0.1514842547448576,-0.6368882119212407,0.7645790396989405,CL1,CL0,CL1,CL0,CL6,CL4,CL5,CL0,CL0,CL0,CL0,CL3,CL0,CL0,CL2,CL0,CL2,CL0,CL3,1,0,1,0,6,4,5,0,0,0,0,3,0,0,2,0,2,0,3,1,0,0,0,1,1,27,High
48,1.09449,0.48246,-0.61113,0.24923,0.1144,-1.5885423617255503,-0.06541445813544404,0.24747081082315747,0.8997792033263129,1.6593723802804718,-1.6342730417595783,0.17640941567213667,CL5,CL0,CL5,CL0,CL0,CL1,CL3,CL4,CL0,CL0,CL2,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0,5,0,5,0,0,1,3,4,0,0,2,0,0,0,0,0,4,0,0,1,1,0,1,0,1,24,High
49,-0.95197,-0.48246,-2.43591,-0.57009,-0.50212,0.1412910274071029,-0.7897743406749475,1.0726444171572447,-1.69605483951956,-1.4258876753066188,-0.13135057116585946,1.6393788314523075,CL4,CL3,CL3,CL0,CL0,CL4,CL2,CL0,CL4,CL0,CL0,CL1,CL0,CL0,CL0,CL0,CL4,CL0,CL2,4,3,3,0,0,4,2,0,4,0,0,1,0,0,0,0,4,0,2,1,0,0,0,0,1,27,High
50,1.09449,0.48246,-0.61113,0.21128,-0.50212,-0.08577651517231642,-0.796796410279238,1.2622119728929073,2.033459078472238,1.6006956572052147,0.5081794378196715,0.6590081571339249,CL4,CL0,CL0,CL0,CL2,CL2,CL3,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL0,CL4,4,0,0,0,2,2,3,0,0,0,0,1,0,0,0,1,0,0,4,1,0,0,0,0,0,17,High
51,2.59171,0.48246,-1.7379,-0.57009,-0.22166,-0.3233297907956478,0.22748088082566342,-0.9164662137923275,0.48590001798456145,-0.15771170483572491,-0.7211614613590017,0.8045003676773143,CL4,CL0,CL0,CL2,CL4,CL4,CL4,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL1,CL0,CL0,4,0,0,2,4,4,4,0,1,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,23,High
52,-0.07854,-0.48246,0.45468,-0.09765,1.90725,0.014447943352256147,0.6296701710517916,0.06066499789673189,-0.4002613298142571,1.4507827782032208,0.005928747477721646,-0.16304891174674668,CL4,CL0,CL0,CL1,CL4,CL2,CL3,CL0,CL0,CL0,CL2,CL0,CL0,CL0,CL3,CL0,CL6,CL0,CL0,4,0,0,1,4,2,3,0,0,0,2,0,0,0,3,0,6,0,0,1,0,0,1,1,1,25,High
53,-0.07854,0.48246,-1.43719,-0.57009,0.1144,0.6442026106961568,0.06359628254429475,0.5053884790955535,1.6280529083487896,1.0201968724592734,-0.34843900520717486,-0.3866149686112966,CL4,CL0,CL0,CL0,CL4,CL4,CL6,CL2,CL2,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL2,CL0,CL3,4,0,0,0,4,4,6,2,2,0,4,0,0,0,0,0,2,0,3,1,1,0,1,0,1,31,Severe
54,-0.95197,0.48246,-1.22751,-0.28519,-1.10702,-0.5871635997853141,0.09471425185727866,-0.10829207219647255,0.10353405070373366,1.5140705120549351,-1.7221949241039127,0.3760306635956959,CL6,CL0,CL0,CL0,CL5,CL3,CL2,CL0,CL0,CL0,CL5,CL1,CL0,CL0,CL0,CL1,CL5,CL0,CL2,6,0,0,0,5,3,2,0,0,0,5,1,0,0,0,1,5,0,2,1,0,0,1,0,1,30,High
55,-0.07854,0.48246,-1.43719,0.96098,-1.10702,0.1944102082826167,-0.4984944040360237,-0.31215121733579176,0.12989853759625736,0.9754655100431967,0.11716621904792983,0.9062158832190655,CL0,CL0,CL0,CL2,CL4,CL5,CL6,CL0,CL2,CL5,CL0,CL0,CL2,CL0,CL0,CL3,CL3,CL0,CL0,0,0,0,2,4,5,6,0,2,5,0,0,2,0,0,3,3,0,0,1,0,1,0,0,1,32,Severe
56,1.82213,0.48246,-1.43719,-0.57009,-0.50212,1.0238746621300039,-0.43218581704972403,-0.21365118686149553,-0.21470328268663053,0.691934959018858,0.43508980673210995,0.17444333609717066,CL5,CL0,CL0,CL0,CL0,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL3,CL0,CL0,CL3,CL0,CL0,5,0,0,0,0,4,0,0,0,0,0,0,4,3,0,0,3,0,0,1,0,0,0,0,1,19,High
57,-0.07854,-0.48246,-1.22751,0.24923,0.1144,-0.995288666754795,-0.7924703583578975,1.083542871305383,1.4676936638675533,1.3661637520350713,0.15941938144907356,-0.6331585532131532,CL3,CL0,CL0,CL0,CL5,CL6,CL4,CL3,CL0,CL0,CL0,CL0,CL0,CL3,CL3,CL3,CL0,CL0,CL0,3,0,0,0,5,6,4,3,0,0,0,0,0,3,3,3,0,0,0,1,1,0,0,1,0,30,High
58,1.09449,0.48246,-0.61113,-0.09765,-0.31685,-2.2606823976889316,-0.5186016516950283,-0.25901219508755247,-0.009350979167891578,0.05547935748301615,1.6124977669390073,-1.2835986436536517,CL5,CL1,CL0,CL0,CL5,CL6,CL3,CL0,CL4,CL2,CL0,CL0,CL0,CL1,CL3,CL2,CL4,CL0,CL3,5,1,0,0,5,6,3,0,4,2,0,0,0,1,3,2,4,0,3,1,0,1,0,1,1,39,Severe
